startTime,appName,projectName,organization,environment,Sonar,resultSonarAnalysis,api_performance_testing,api_performance_tests_executed,api_performance_tests_success_rate,api_functional_testing,api_tests_executed,api_tests_failed,forfify_security_test,web_functional_testing,web_tests_executed,web_tests_failed,trivy_security_test,fortify_security_critical,fortify_security_high,trivy_security_high,trivy_security_critical,product,appType,deploymentType
2024-08-29T09:24:35,ms-spb-wh-rie-authorization-token-dnb,wh-riesgos,SCF,CERT,,,,,,,,,,,,,,,,,,PDCT0050885,MavenDockerHelm,EKS
2024-08-29T09:17:26,ms-spb-wh-rie-logalty,wh-riesgos,SCF,CERT,,,,,,,,,,,,,,,,,,PDCT0050885,MavenDockerHelm,EKS
2024-08-29T09:47:02,ms-spb-wh-rie-authorization-token-dnb,wh-riesgos,SCF,CERT,,,,,,,,,,,,,,,,,,PDCT0050885,MavenDockerHelm,EKS
2024-08-29T09:47:02,ms-spb-wh-rie-authorization-token-dnb,wh-riesgos,SCF,CERT,,,,,,,,,,,,,,,,,,PDCT0050885,MavenDockerHelm,EKS
2024-08-29T09:54:23,ms-spb-wh-rie-logalty,wh-riesgos,SCF,CERT,,,,,,,,,,,,,,,,,,PDCT0050885,MavenDockerHelm,EKS
2024-08-29T09:54:23,ms-spb-wh-rie-logalty,wh-riesgos,SCF,CERT,,,,,,,,,,,,,,,,,,PDCT0050885,MavenDockerHelm,EKS
2024-08-29T09:54:23,ms-spb-wh-rie-logalty,wh-riesgos,SCF,CERT,,,,,,,,,,,,,,,,,,PDCT0050885,MavenDockerHelm,EKS
2024-08-29T09:54:23,ms-spb-wh-rie-logalty,wh-riesgos,SCF,CERT,,,,,,,,,,,,,,,,,,PDCT0050885,MavenDockerHelm,EKS
2024-08-29T09:57:09,ms-spb-wh-rie-authorization-token-dnb,wh-riesgos,SCF,CERT,,,,,,,,,,,,,,,,,,PDCT0050885,MavenDockerHelm,EKS
2024-08-29T09:59:14,ms-spb-wh-rie-france-provenir-storage,wh-riesgos,SCF,CERT,,,,,,,,,,,,,,,,,,PDCT0050885,MavenDockerHelm,EKS
