startTime,appName,projectName,organization,environment,Sonar,resultSonarAnalysis,api_performance_testing,api_performance_tests_executed,api_performance_tests_success_rate,api_functional_testing,api_tests_executed,api_tests_failed,forfify_security_test,web_functional_testing,web_tests_executed,web_tests_failed,trivy_security_test,fortify_security_critical,fortify_security_high,trivy_security_high,trivy_security_critical,product,appType,deploymentType
2024-09-05T18:38:28,ms-spb-wh-cus-existing-customers,wh-operational-portal,SCF,PRO,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T20:13:21,ms-spb-wh-loan-contract-extension,wh-operational-portal,SCF,PRO,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T20:42:16,ms-camel-wh-entity-structural-organization,wh-operational-portal,SCF,PRO,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T17:05:05,ms-spb-wh-genesys-general-tables,wh-operational-portal,SCF,PRO,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T18:38:28,ms-spb-wh-cus-existing-customers,wh-operational-portal,SCF,PRO,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T18:38:28,ms-spb-wh-cus-existing-customers,wh-operational-portal,SCF,PRO,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T20:13:21,ms-spb-wh-loan-contract-extension,wh-operational-portal,SCF,PRO,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T20:13:21,ms-spb-wh-loan-contract-extension,wh-operational-portal,SCF,PRO,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T20:42:16,ms-camel-wh-entity-structural-organization,wh-operational-portal,SCF,PRO,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T20:42:16,ms-camel-wh-entity-structural-organization,wh-operational-portal,SCF,PRO,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T10:29:52,ms-spb-wh-contact,wh-operational-portal,SCF,PRO,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
