startTime,appName,projectName,organization,environment,Sonar,resultSonarAnalysis,api_performance_testing,api_performance_tests_executed,api_performance_tests_success_rate,api_functional_testing,api_tests_executed,api_tests_failed,forfify_security_test,web_functional_testing,web_tests_executed,web_tests_failed,trivy_security_test,fortify_security_critical,fortify_security_high,trivy_security_high,trivy_security_critical,product,appType,deploymentType
2024-09-19T09:48:32.793,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-19T09:48:32.793,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-19T09:48:32.793,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-19T09:48:32.793,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-19T10:07:45.96,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-19T10:07:45.96,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-19T11:00:06.857,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-19T11:00:06.857,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-19T11:00:06.857,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-19T11:00:06.857,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-19T15:00:50.207,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-19T15:00:50.207,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-19T15:00:50.207,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-19T15:00:50.207,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-20T14:05:23.407,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-20T14:05:23.407,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-20T14:05:23.407,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-20T14:05:23.407,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-23T09:02:07.087,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-23T09:02:07.087,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-23T14:48:58.857,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
2024-09-24T14:32:46.4,sce_contconsumption_microbe_card,sce-cont-consumption,SCE,CERT,,,,,,,,,,,,,,,,,,Web Consumo,NETCOREDockerHelm,EKS
